cliff,cliff_000,nathan,"That was scary, hu?",crashed pod,arrival,1
cliff,cliff_001,nathan,"But don't worry, I'm still alive!",crashed pod,arrival,2
cliff,cliff_002,nathan,Thank goodness I was thrown out of the pod seconds before it hit the ground.,crashed pod,arrival,3
cliff,cliff_003,nathan,Now I need to get back to the lab and free Dr. Coppelius!,crashed pod,arrival,4
cliff,cliff_004,nathan,"That was scary, uh?",crashed pod,look at,1
cliff,cliff_007,nathan,Now I should get back to the house and free Dr. Coppelius!,crashed pod,look at,2
cliff,cliff_008,nathan,There's a lighthouse off in the distance... but no light.,lighthouse,look at,
cliff,cliff_009,nathan,A boat is at anchor in the bay.,boat,look at,
cliff,cliff_010,nathan,There's an old pier on the other side of the bay.,distant pier,look at,
cliff,cliff_011,nathan,There's a piece of string caught in the branches.,piece of string,look at,
cliff,cliff_012,nathan,A piece of string can be useful!,piece of string,use (take),
cliff,cliff_013,nathan,It's a sundial.,sundial,look at,
cliff,cliff_014,nathan,"There's no sunlight, so I can't tell what time it is.",sundial,use,
cliff,cliff_015,nathan,He's asleep. It seems that my sedatives worked.,sleeping crow,look at,1
cliff,cliff_016,nathan,I guess I can take the key now.,sleeping crow,look at,2
cliff,cliff_017,nathan,"Okay, I have the key.",sleeping crow (key),use (take),
cliff,cliff_019,nathan,No. He deserves some rest.,sleeping crow (no key),use (poke),
ferry,ferry_000,nathan,Over there is a lighthouse.,lighthouse,look at,
ferry,ferry_001,nathan,It's too far away. They wouldn't hear me.,lighthouse,talk to,
ferry,ferry_002,nathan,I don't think I'll hike over there ...,lighthouse,use,
ferry,ferry_003,nathan,It was a massive stone bridge. It's collapsed.,collapsed bridge,look at,1
ferry,ferry_004,nathan,I think that way leads to that village I saw on the map at home ... Ravenhollow.,collapsed bridge,look at,2
ferry,ferry_005,nathan,I can't cross the bridge.,collapsed bridge,use,
ferry,ferry_006,nathan,"Ah, the sea.",sea,look at,
ferry,ferry_007,nathan,"No, the water looks really cold.",sea,use (swim in),
ferry,ferry_008,nathan,I've never done this before...,sea,item (fishing_bait),1
ferry,ferry_009,nathan,I guess I won't need that stupid fishing rod anymore.,sea,item (fishing_bait),2
ferry,ferry_010,sailor,I would have paid fifty bucks for it.,sea,item (fishing_bait),3
ferry,ferry_011,nathan,I'll just pretend like I didn't hear that.,sea,item (fishing_bait),4
ferry,ferry_012,nathan,I'll need to bait the hook before I can try fishing.,sea,item (fishing_rod),
ferry,ferry_013,nathan,I'll need a float and bait before I can try fishing.,sea,item (stick_hook),
